"ncm;nves;nves_nm;pais_origem;fob_kg_minimo_dolar_truncado;fob_kg_maximo_dolar_truncado;fob_kg_media_dolar_truncado;fob_kg_mediana_dolar_truncado;fob_kg_desvio_padrao_dolar_truncado;fob_kg_quartil1_truncado;fob_kg_quartil3_truncado;fob_ume_minimo_dolar_truncado;fob_ume_maximo_dolar_truncado;fob_ume_media_dolar_truncado;fob_ume_mediana_dolar_truncado;fob_ume_desvio_padrao_dolar_truncado;fob_ume_quartil1_truncado;fob_ume_quartil3_truncado;vmle_soma_dolar_truncado;peso_liq_soma_truncado;qtd_ume_soma_truncado;frete_minimo_dolar_truncado;frete_media_dolar_truncado;frete_mediana_dolar_truncado;frete_maximo_dolar_truncado;frete_desvio_padrao_dolar_truncado;seguro_minimo_dolar_truncado;seguro_media_dolar_truncado;seguro_mediana_dolar_truncado;seguro_maximo_dolar_truncado;seguro_desvio_padrao_dolar_truncado;ume"
"3031200;S/NVE;S/NVE;CHILE;5.2;6.3;6.0;6.0;0.296;5.93;6.3;5.2;6.3;6.0;6.0;0.296;5.93;6.3;2390000.0;398000.0;398000.0;1910.0;3060.0;3130.0;4240.0;488.0;0.0;149.0;133.0;424.0;122.0;Quilograma"
"3031300;S/NVE;S/NVE;CHILE;3.19;7.4;5.03;4.4;1.55;4.23;5.9;3.19;7.4;5.03;4.4;1.55;4.23;5.9;553000.0;104000.0;104000.0;498.0;2310.0;3010.0;3540.0;1180.0;0.0;65.1;56.7;145.0;61.8;Quilograma"
"3036300;S/NVE;S/NVE;PORTUGAL;6.96;20.0;14.7;15.1;2.92;12.7;16.9;6.96;20.0;14.7;15.1;2.92;12.7;16.9;7840000.0;537000.0;537000.0;215.0;880.0;791.0;2530.0;477.0;0.0;79.9;4.31;996.0;166.0;Quilograma"
"3036500;S/NVE;S/NVE;PORTUGAL;3.57;9.52;6.95;7.3;1.7;5.37;8.48;3.57;9.52;6.95;7.3;1.7;5.37;8.48;893000.0;133000.0;133000.0;92.0;613.0;345.0;2240.0;540.0;0.0;12.1;0.0;98.3;24.3;Quilograma"
"3038112;S/NVE;S/NVE;FORMOSA (TAIWAN);1.41;1.8;1.62;1.67;0.126;1.58;1.67;1.41;1.8;1.62;1.67;0.126;1.58;1.67;392000.0;245000.0;245000.0;2200.0;3200.0;2420.0;7600.0;1830.0;0.0;13.5;0.0;108.0;38.4;Quilograma"
"3038910;S/NVE;S/NVE;ARGENTINA;1.72;1.9;1.84;1.85;0.0475;1.83;1.86;1.72;1.9;1.84;1.85;0.0475;1.83;1.86;588000.0;319000.0;319000.0;826.0;1120.0;1070.0;1340.0;176.0;0.0;7.75;0.0;93.0;26.8;Quilograma"
"3038910;S/NVE;S/NVE;URUGUAI;1.71;2.0;1.88;1.87;0.069;1.85;1.9;1.71;2.0;1.88;1.87;0.069;1.85;1.9;631000.0;334000.0;334000.0;74.0;1120.0;999.0;2350.0;607.0;0.0;17.4;0.0;81.4;30.7;Quilograma"
"3038951;S/NVE;S/NVE;ARGENTINA;0.6;1.65;1.16;1.15;0.483;0.8;1.61;0.6;1.65;1.16;1.15;0.483;0.8;1.61;156000.0;130000.0;130000.0;249.0;2060.0;2250.0;3450.0;1060.0;0.0;0.0;0.0;0.0;0.0;Quilograma"
"3038990;S/NVE;S/NVE;FORMOSA (TAIWAN);3.67;4.29;3.94;3.91;0.298;3.71;4.14;3.67;4.29;3.94;3.91;0.298;3.71;4.14;425000.0;107000.0;107000.0;1600.0;2880.0;3070.0;3800.0;986.0;0.0;54.2;0.0;217.0;108.0;Quilograma"
"3046290;S/NVE;S/NVE;VIETNA;2.2;3.28;2.69;2.74;0.203;2.57;2.82;2.2;3.28;2.69;2.74;0.203;2.57;2.82;13000000.0;4830000.0;4830000.0;1590.0;2460.0;2320.0;3800.0;560.0;0.0;25.5;0.0;156.0;45.6;Quilograma"
"3047100;S/NVE;S/NVE;PORTUGAL;8.69;18.3;10.5;9.6;3.19;9.15;10.1;8.69;18.3;10.5;9.6;3.19;9.15;10.1;788000.0;64800.0;64800.0;58.2;1050.0;697.0;2880.0;1030.0;0.0;0.0;0.0;0.0;0.0;Quilograma"
"3047300;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;4.0;6.11;4.51;4.3;0.652;4.16;4.45;4.0;6.11;4.51;4.3;0.652;4.16;4.45;865000.0;192000.0;192000.0;1900.0;2780.0;3050.0;3250.0;498.0;0.0;47.7;32.0;223.0;71.5;Quilograma"
"3047300;S/NVE;S/NVE;ISLANDIA;4.16;5.22;4.88;5.15;0.448;4.7;5.15;4.16;5.22;4.88;5.15;0.448;4.7;5.15;481000.0;96700.0;96700.0;1220.0;2830.0;1490.0;8030.0;2910.0;0.0;119.0;119.0;233.0;111.0;Quilograma"
"3047400;S/NVE;S/NVE;ARGENTINA;3.2;4.6;3.71;3.67;0.201;3.65;3.75;3.2;4.6;3.71;3.67;0.201;3.65;3.75;11400000.0;3080000.0;3080000.0;385.0;1810.0;1790.0;4300.0;629.0;0.0;54.4;0.0;481.0;98.1;Quilograma"
"3047500;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;2.2;3.06;2.65;2.73;0.202;2.5;2.74;2.2;3.06;2.65;2.73;0.202;2.5;2.74;1920000.0;730000.0;730000.0;1670.0;2880.0;3050.0;4100.0;597.0;0.0;31.6;31.0;200.0;46.1;Quilograma"
"3048100;S/NVE;S/NVE;CHILE;6.99;15.5;9.59;8.29;2.7;8.09;10.3;6.99;15.5;9.59;8.29;2.7;8.09;10.3;1970000.0;217000.0;217000.0;513.0;2550.0;2400.0;4680.0;1130.0;0.0;65.4;2.07;373.0;112.0;Quilograma"
"3048990;S/NVE;S/NVE;NOVA ZELANDIA;9.19;11.5;9.89;9.3;1.01;9.23;10.1;9.19;11.5;9.89;9.3;1.01;9.23;10.1;813000.0;82500.0;82500.0;4040.0;5040.0;4950.0;5800.0;669.0;0.0;78.6;0.0;393.0;175.0;Quilograma"
"3049400;S/NVE;S/NVE;PORTUGAL;4.26;5.56;5.29;5.52;0.485;5.3;5.54;4.26;5.56;5.29;5.52;0.485;5.3;5.54;56900.0;11100.0;11100.0;11.8;128.0;137.0;305.0;96.1;0.0;14.0;20.2;20.4;9.66;Quilograma"
"3049500;S/NVE;S/NVE;PORTUGAL;6.85;10.6;8.77;8.71;1.14;8.28;9.36;6.85;10.6;8.77;8.71;1.14;8.28;9.36;321000.0;39300.0;39300.0;103.0;298.0;241.0;1050.0;265.0;0.0;12.7;0.0;93.7;28.7;Quilograma"
"3049900;S/NVE;S/NVE;CHILE;3.3;9.1;5.85;6.14;2.06;4.0;6.22;3.3;9.1;5.85;6.14;2.06;4.0;6.22;653000.0;117000.0;117000.0;208.0;2320.0;3000.0;6390.0;2060.0;0.0;17.6;0.0;74.9;28.9;Quilograma"
"3053210;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;10.6;13.9;12.8;13.3;1.49;12.5;13.5;10.6;13.9;12.8;13.3;1.49;12.5;13.5;793000.0;63100.0;63100.0;816.0;1570.0;1240.0;3000.0;1010.0;60.4;104.0;89.1;181.0;54.4;Quilograma"
"3053290;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;3.13;3.72;3.36;3.35;0.145;3.23;3.46;3.13;3.72;3.36;3.35;0.145;3.23;3.46;3080000.0;918000.0;918000.0;596.0;2640.0;2720.0;4650.0;738.0;0.0;46.9;20.3;200.0;68.3;Quilograma"
"3055100;S/NVE;S/NVE;NORUEGA;8.21;15.8;12.2;12.5;1.56;11.4;13.0;8.21;15.8;12.2;12.5;1.56;11.4;13.0;5980000.0;488000.0;488000.0;26.6;1920.0;1980.0;3320.0;1250.0;0.0;91.7;54.9;332.0;83.8;Quilograma"
"3055310;S/NVE;S/NVE;NORUEGA;2.94;6.56;4.58;4.53;0.656;4.08;5.04;2.94;6.56;4.58;4.53;0.656;4.08;5.04;8950000.0;1950000.0;1950000.0;630.0;3170.0;3150.0;4550.0;859.0;0.0;75.8;62.3;432.0;55.6;Quilograma"
"3055310;S/NVE;S/NVE;PORTUGAL;3.71;6.53;4.42;3.99;1.18;3.91;3.99;3.71;6.53;4.42;3.99;1.18;3.91;3.99;296000.0;75800.0;75800.0;37.2;1310.0;1020.0;2240.0;936.0;0.0;32.7;40.8;80.0;33.0;Quilograma"
"3056200;S/NVE;S/NVE;NORUEGA;11.2;14.7;13.1;13.4;1.11;12.5;13.8;11.2;14.7;13.1;13.4;1.11;12.5;13.8;3190000.0;241000.0;241000.0;422.0;2040.0;1990.0;3450.0;966.0;34.5;78.0;58.7;201.0;45.6;Quilograma"
"3061790;S/NVE;S/NVE;EQUADOR;6.75;10.0;8.06;7.73;1.5;6.97;8.83;6.75;10.0;8.06;7.73;1.5;6.97;8.83;716000.0;89600.0;89600.0;1730.0;3440.0;3920.0;4200.0;1140.0;0.0;0.0;0.0;0.0;0.0;Quilograma"
"3074310;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;2.49;3.06;2.81;2.89;0.242;2.6;2.96;2.49;3.06;2.81;2.89;0.242;2.6;2.96;438000.0;156000.0;156000.0;2600.0;2920.0;2850.0;3410.0;358.0;0.0;29.3;0.0;176.0;71.9;Quilograma"
"3074310;S/NVE;S/NVE;PERU;1.99;3.32;2.9;3.06;0.39;2.77;3.14;1.99;3.32;2.9;3.06;0.39;2.77;3.14;651000.0;227000.0;227000.0;1300.0;2850.0;3000.0;3390.0;544.0;0.0;11.3;0.0;135.0;39.1;Quilograma"
"3075200;S/NVE;S/NVE;PORTUGAL;9.4;15.3;13.3;15.1;2.38;11.6;15.1;9.4;15.3;13.3;15.1;2.38;11.6;15.1;646000.0;55200.0;55200.0;15.3;656.0;24.1;2130.0;808.0;0.0;24.6;0.0;174.0;58.4;Quilograma"
"3089000;S/NVE;S/NVE;INDONESIA;1.52;41.9;17.8;13.5;12.8;12.2;16.1;1.52;41.9;17.8;13.5;12.8;12.2;16.1;3310.0;266.0;266.0;146.0;297.0;258.0;519.0;124.0;0.0;0.0;0.0;0.0;0.0;Quilograma"
"4021010;S/NVE;S/NVE;ARGENTINA;2.9;4.45;3.24;3.16;0.279;3.1;3.3;2.9;4.45;3.24;3.16;0.279;3.1;3.3;6030000.0;1840000.0;1840000.0;215.0;1650.0;1410.0;7200.0;1000.0;0.0;173.0;232.0;880.0;157.0;Quilograma"
"4021010;S/NVE;S/NVE;URUGUAI;2.93;3.76;3.15;3.05;0.219;3.03;3.23;2.93;3.76;3.15;3.05;0.219;3.03;3.23;3110000.0;992000.0;992000.0;0.13;678.0;710.0;1090.0;148.0;0.0;3.09;0.0;71.8;11.9;Quilograma"
"4022110;S/NVE;S/NVE;ARGENTINA;3.11;4.65;3.58;3.5;0.271;3.4;3.75;3.11;4.65;3.58;3.5;0.271;3.4;3.75;20500000.0;5720000.0;5720000.0;96.0;2430.0;1920.0;14300.0;2230.0;0.0;112.0;0.0;990.0;163.0;Quilograma"
"4022110;S/NVE;S/NVE;URUGUAI;2.9;4.07;3.43;3.47;0.355;3.11;3.8;2.9;4.07;3.43;3.47;0.355;3.11;3.8;13200000.0;3810000.0;3810000.0;300.0;1950.0;1310.0;4560.0;1460.0;0.0;145.0;171.0;552.0;129.0;Quilograma"
"4041000;S/NVE;S/NVE;ARGENTINA;0.561;11.2;3.56;2.15;2.84;1.76;7.0;0.561;11.2;3.56;2.15;2.84;1.76;7.0;3440000.0;1140000.0;1140000.0;60.0;1430.0;1200.0;2950.0;749.0;0.0;97.1;47.7;698.0;130.0;Quilograma"
"4049000;S/NVE;S/NVE;ESTADOS UNIDOS;5.17;8.73;6.12;6.13;1.25;5.19;6.21;5.17;8.73;6.12;6.13;1.25;5.19;6.21;393000.0;56300.0;56300.0;69.7;1520.0;600.0;4930.0;2120.0;0.0;28.9;0.0;122.0;45.3;Quilograma"
"4061010;S/NVE;S/NVE;ARGENTINA;3.32;5.0;4.09;4.17;0.39;3.82;4.35;3.32;5.0;4.09;4.17;0.39;3.82;4.35;12100000.0;2960000.0;2960000.0;500.0;1790.0;1800.0;5380.0;724.0;0.0;75.8;0.0;426.0;124.0;Quilograma"
"4069010;S/NVE;S/NVE;ARGENTINA;5.58;7.6;6.37;6.38;0.441;6.25;6.4;5.58;7.6;6.37;6.38;0.441;6.25;6.4;2330000.0;366000.0;366000.0;835.0;2360.0;2000.0;4250.0;1290.0;0.0;186.0;133.0;421.0;188.0;Quilograma"
"4069020;S/NVE;S/NVE;ARGENTINA;3.43;5.0;4.0;3.82;0.461;3.67;4.24;3.43;5.0;4.0;3.82;0.461;3.67;4.24;2500000.0;637000.0;637000.0;154.0;1760.0;1620.0;4000.0;895.0;0.0;91.0;0.0;309.0;117.0;Quilograma"
"4069030;S/NVE;S/NVE;FRANCA;7.96;18.4;13.0;13.1;4.09;9.03;15.9;7.96;18.4;13.0;13.1;4.09;9.03;15.9;375000.0;28800.0;28800.0;102.0;1000.0;1030.0;1970.0;658.0;0.0;48.4;23.8;187.0;61.3;Quilograma"
"5040012;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;5.94;22.7;14.1;14.6;7.5;7.4;20.1;5.94;22.7;14.1;14.6;7.5;7.4;20.1;1130000.0;77600.0;77600.0;1420.0;2390.0;2470.0;3430.0;871.0;0.0;38.7;40.8;84.8;35.7;Quilograma"
"5040013;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;3.98;10.3;8.22;8.2;1.18;7.78;8.69;3.98;10.3;8.22;8.2;1.18;7.78;8.69;4440000.0;532000.0;532000.0;576.0;2740.0;2450.0;4900.0;1050.0;0.0;371.0;58.7;1950.0;688.0;Quilograma"
"5100090;S/NVE;S/NVE;PARAGUAI;0.177;152000.0;25300.0;0.177;62100.0;0.177;8.22;0.177;152000.0;25300.0;0.177;62100.0;0.177;8.22;371000.0;136000.0;136000.0;500.0;1120.0;1000.0;1810.0;489.0;70.0;383.0;70.0;1910.0;750.0;Quilograma"
"5111000;S/NVE;S/NVE;ESTADOS UNIDOS;2100.0;13700.0;6500.0;5830.0;3770.0;4140.0;8550.0;2.1;13.7;6.5;5.83;3.77;4.14;8.55;971000.0;154.0;154000.0;551.0;4030.0;2210.0;11300.0;3940.0;0.0;371.0;148.0;1470.0;551.0;Grama"
"6011000;S/NVE;S/NVE;PAISES BAIXOS (HOLANDA);2.64;18.1;8.05;4.47;6.9;3.33;12.7;0.139;1.97;0.724;0.296;0.796;0.172;1.2;659000.0;105000.0;1670000.0;1460.0;1530.0;1510.0;1630.0;84.1;0.0;224.0;0.0;1340.0;551.0;Unidade"
"6029021;S/NVE;S/NVE;PAISES BAIXOS (HOLANDA);16.3;97.6;53.0;38.2;27.4;30.6;78.0;0.551;1.34;1.02;1.18;0.281;0.75;1.27;1870000.0;53100.0;1810000.0;555.0;6770.0;2420.0;39100.0;10200.0;0.0;146.0;63.7;837.0;240.0;Unidade"
"6029021;S/NVE;S/NVE;TAILANDIA;6.65;44.6;22.7;19.6;13.2;16.1;32.1;0.0377;4.67;1.31;0.364;1.9;0.314;0.68;261000.0;14000.0;413000.0;234.0;8930.0;7380.0;24800.0;7120.0;0.0;0.0;0.0;0.0;0.0;Unidade"
"6029029;S/NVE;S/NVE;PAISES BAIXOS (HOLANDA);0.177;455.0;81.4;41.2;106.0;28.4;72.5;0.000299;1.56;0.568;0.408;0.442;0.213;0.757;209000.0;6010.0;566000.0;13.0;1380.0;515.0;11500.0;2440.0;0.0;21.8;0.0;502.0;98.2;Unidade"
