"ncm;nves;nves_nm;pais_origem;fob_kg_minimo_dolar_truncado;fob_kg_maximo_dolar_truncado;fob_kg_media_dolar_truncado;fob_kg_mediana_dolar_truncado;fob_kg_desvio_padrao_dolar_truncado;fob_kg_quartil1_truncado;fob_kg_quartil3_truncado;fob_ume_minimo_dolar_truncado;fob_ume_maximo_dolar_truncado;fob_ume_media_dolar_truncado;fob_ume_mediana_dolar_truncado;fob_ume_desvio_padrao_dolar_truncado;fob_ume_quartil1_truncado;fob_ume_quartil3_truncado;vmle_soma_dolar_truncado;peso_liq_soma_truncado;qtd_ume_soma_truncado;frete_minimo_dolar_truncado;frete_media_dolar_truncado;frete_mediana_dolar_truncado;frete_maximo_dolar_truncado;frete_desvio_padrao_dolar_truncado;seguro_minimo_dolar_truncado;seguro_media_dolar_truncado;seguro_mediana_dolar_truncado;seguro_maximo_dolar_truncado;seguro_desvio_padrao_dolar_truncado;ume"
"70159020;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;1.64;13.7;6.23;2.27;5.8;2.19;11.3;1.64;13.7;6.23;2.27;5.8;2.19;11.3;23100.0;10000.0;10000.0;16.2;289.0;181.0;704.0;293.0;0.0;17.3;6.91;50.0;20.7;Quilograma"
"70161000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.451;3.28;1.47;1.09;1.24;0.876;1.69;0.451;3.28;1.47;1.09;1.24;0.876;1.69;43000.0;68300.0;68300.0;4.0;1600.0;260.0;5900.0;2860.0;0.0;9.54;4.37;29.4;13.8;Quilograma"
"70169000;SI.70169000.AA.0002,SI.70169000.AB.0002;ORIGEM: Europa, COLORAÇÃO: Incolor;TCHECA, REPUBLICA;0.41;0.526;0.435;0.419;0.0445;0.414;0.424;0.41;0.526;0.435;0.419;0.0445;0.414;0.424;170000.0;404000.0;404000.0;1170.0;3630.0;3270.0;6150.0;2030.0;0.0;14.8;15.0;30.5;11.2;Quilograma"
"70171000;S/NVE;S/NVE;ALEMANHA;62.9;8380.0;4420.0;4740.0;2820.0;2910.0;5970.0;62.9;8380.0;4420.0;4740.0;2820.0;2910.0;5970.0;10900.0;101.0;101.0;0.27;234.0;0.91;1630.0;618.0;0.0;0.00142;0.0;0.01;0.00377;Quilograma"
"70171000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.681;800.0;275.0;162.0;335.0;1.45;517.0;0.681;800.0;275.0;162.0;335.0;1.45;517.0;25800.0;25400.0;25400.0;0.23;470.0;26.8;2320.0;819.0;0.0;4.48;0.94;32.2;10.4;Quilograma"
"70171000;S/NVE;S/NVE;ESTADOS UNIDOS;137.0;5440.0;1980.0;1800.0;1460.0;840.0;3050.0;137.0;5440.0;1980.0;1800.0;1460.0;840.0;3050.0;23700.0;20.5;20.5;0.05;13.2;1.5;156.0;34.5;0.0;0.0904;0.0;1.45;0.3;Quilograma"
"70172000;S/NVE;S/NVE;ALEMANHA;17.0;7890.0;1040.0;327.0;2210.0;108.0;702.0;17.0;7890.0;1040.0;327.0;2210.0;108.0;702.0;14500.0;141.0;141.0;0.71;28.6;3.9;148.0;53.1;0.0;0.511;0.0;6.14;1.77;Quilograma"
"70172000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.81;359.0;113.0;5.51;153.0;4.59;263.0;0.81;359.0;113.0;5.51;153.0;4.59;263.0;62200.0;28500.0;28500.0;0.27;482.0;125.0;2850.0;971.0;0.0;1.51;0.0;8.88;3.18;Quilograma"
"70172000;S/NVE;S/NVE;ESTADOS UNIDOS;11.9;7300.0;1090.0;572.0;1670.0;132.0;1110.0;11.9;7300.0;1090.0;572.0;1670.0;132.0;1110.0;8870.0;70.6;70.6;0.06;32.0;4.1;246.0;62.5;0.0;0.619;0.0;13.0;2.71;Quilograma"
"70179000;S/NVE;S/NVE;ALEMANHA;5.31;13800.0;1300.0;404.0;2700.0;41.6;880.0;5.31;13800.0;1300.0;404.0;2700.0;41.6;880.0;85000.0;508.0;508.0;0.13;100.0;7.85;911.0;189.0;0.0;1.27;0.01;19.9;3.78;Quilograma"
"70179000;S/NVE;S/NVE;AUSTRALIA;473.0;8110.0;2810.0;2690.0;2140.0;1460.0;3590.0;473.0;8110.0;2810.0;2690.0;2140.0;1460.0;3590.0;7560.0;2.74;2.74;0.04;2.04;1.33;5.58;1.68;0.0;0.0272;0.0;0.13;0.0494;Quilograma"
"70179000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;1.55;4450.0;344.0;13.8;975.0;4.4;34.1;1.55;4450.0;344.0;13.8;975.0;4.4;34.1;343000.0;88200.0;88200.0;0.9;750.0;180.0;2780.0;900.0;0.0;10.2;2.86;68.3;15.8;Quilograma"
"70179000;S/NVE;S/NVE;ESTADOS UNIDOS;0.797;65400.0;1570.0;444.0;6420.0;101.0;1320.0;0.797;65400.0;1570.0;444.0;6420.0;101.0;1320.0;195000.0;1890.0;1890.0;0.01;205.0;11.0;5790.0;688.0;0.0;1.1;0.0;73.2;7.31;Quilograma"
"70179000;S/NVE;S/NVE;FRANCA;447.0;8240.0;2830.0;1320.0;3670.0;580.0;3580.0;447.0;8240.0;2830.0;1320.0;3670.0;580.0;3580.0;6430.0;3.35;3.35;0.31;3.96;3.08;9.38;4.15;0.0;1.4;0.005;5.62;2.8;Quilograma"
"70179000;S/NVE;S/NVE;INDIA;4.74;4320.0;579.0;149.0;1400.0;42.4;221.0;4.74;4320.0;579.0;149.0;1400.0;42.4;221.0;77900.0;1360.0;1360.0;0.15;897.0;61.1;6810.0;2230.0;0.0;4.62;0.0;41.6;13.8;Quilograma"
"70179000;S/NVE;S/NVE;JAPAO;5.28;18800.0;4030.0;414.0;6310.0;66.1;4840.0;5.28;18800.0;4030.0;414.0;6310.0;66.1;4840.0;73200.0;3680.0;3680.0;0.13;155.0;34.0;1040.0;305.0;0.0;22.7;0.015;181.0;51.1;Quilograma"
"70179000;S/NVE;S/NVE;MALASIA;123.0;2150.0;1120.0;1010.0;865.0;455.0;1880.0;123.0;2150.0;1120.0;1010.0;865.0;455.0;1880.0;2820.0;2.31;2.31;1.68;57.1;7.26;305.0;121.0;0.0;0.0;0.0;0.0;0.0;Quilograma"
"70179000;S/NVE;S/NVE;REINO UNIDO;61.6;3120.0;1370.0;1160.0;1320.0;229.0;2410.0;61.6;3120.0;1370.0;1160.0;1320.0;229.0;2410.0;14300.0;33.0;33.0;0.28;159.0;114.0;472.0;186.0;0.0;0.683;0.0;4.1;1.67;Quilograma"
"70179000;S/NVE;S/NVE;SUECIA;104.0;6400.0;2640.0;603.0;3200.0;231.0;5880.0;104.0;6400.0;2640.0;603.0;3200.0;231.0;5880.0;9710.0;22.7;22.7;1.59;65.1;24.6;244.0;100.0;0.0;4.05;0.67;18.3;8.01;Quilograma"
"70179000;S/NVE;S/NVE;SUICA;366.0;2520.0;1020.0;866.0;702.0;709.0;1050.0;366.0;2520.0;1020.0;866.0;702.0;709.0;1050.0;12500.0;13.3;13.3;5.46;18.6;17.4;32.7;11.4;0.0;0.281;0.135;0.89;0.337;Quilograma"
"70181010;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.604;11.1;2.69;1.96;2.63;1.34;2.14;0.604;11.1;2.69;1.96;2.63;1.34;2.14;97900.0;66000.0;66000.0;1.41;368.0;173.0;2590.0;557.0;0.0;4.09;0.0;78.0;15.6;Quilograma"
"70181020;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;1.53;36.5;18.0;20.6;12.0;1.8;28.2;1.53;36.5;18.0;20.6;12.0;1.8;28.2;1280000.0;88200.0;88200.0;102.0;8180.0;2500.0;30900.0;10500.0;0.0;201.0;57.8;1620.0;368.0;Quilograma"
"70182000;S/NVE;S/NVE;ALEMANHA;2.54;15.7;8.31;7.78;4.24;7.64;8.23;2.54;15.7;8.31;7.78;4.24;7.64;8.23;42700.0;5990.0;5990.0;61.1;3830.0;2190.0;13200.0;4910.0;0.5;8.29;5.31;30.0;10.9;Quilograma"
"70182000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.265;6.04;1.2;0.284;2.06;0.265;0.364;0.265;6.04;1.2;0.284;2.06;0.265;0.364;192000.0;609000.0;609000.0;5.45;5540.0;7200.0;9690.0;3410.0;0.0;123.0;60.0;820.0;232.0;Quilograma"
"70189000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.649;45.4;11.5;7.21;12.8;1.68;20.1;0.649;45.4;11.5;7.21;12.8;1.68;20.1;65000.0;12800.0;12800.0;1.59;271.0;169.0;771.0;286.0;0.0;10.0;0.0;71.0;24.4;Quilograma"
"70191100;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.64;0.926;0.74;0.717;0.0851;0.661;0.805;0.64;0.926;0.74;0.717;0.0851;0.661;0.805;1150000.0;1620000.0;1620000.0;1800.0;8020.0;5400.0;18700.0;5590.0;0.0;37.3;18.7;294.0;56.8;Quilograma"
"70191210;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.436;2.4;0.921;0.545;0.637;0.461;1.05;0.436;2.4;0.921;0.545;0.637;0.461;1.05;507000.0;899000.0;899000.0;452.0;5700.0;3890.0;18900.0;5640.0;0.0;46.8;45.0;120.0;31.2;Quilograma"
"70191290;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.321;40.0;4.74;0.597;10.8;0.437;1.62;0.321;40.0;4.74;0.597;10.8;0.437;1.62;1010000.0;1490000.0;1490000.0;23.6;3250.0;2970.0;12600.0;2860.0;0.0;60.6;34.4;400.0;74.8;Quilograma"
"70191290;S/NVE;S/NVE;EGITO;0.417;0.869;0.634;0.567;0.167;0.528;0.773;0.417;0.869;0.634;0.567;0.167;0.528;0.773;241000.0;423000.0;423000.0;376.0;1990.0;2340.0;4500.0;1320.0;12.9;96.7;85.3;221.0;72.8;Quilograma"
"70191400;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.652;2.34;1.27;0.94;0.678;0.837;1.92;0.652;2.34;1.27;0.94;0.678;0.837;1.92;229000.0;225000.0;225000.0;218.0;2080.0;1380.0;5000.0;1560.0;0.0;33.5;3.34;373.0;98.8;Quilograma"
"70191500;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.749;6.08;1.38;1.41;0.957;0.797;1.57;0.749;6.08;1.38;1.41;0.957;0.797;1.57;533000.0;566000.0;566000.0;164.0;2130.0;1040.0;9490.0;2420.0;0.0;31.4;18.9;120.0;34.2;Quilograma"
"70191900;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.627;674.0;32.3;2.83;140.0;1.22;3.22;0.627;674.0;32.3;2.83;140.0;1.22;3.22;361000.0;171000.0;171000.0;5.53;989.0;720.0;4420.0;1150.0;0.0;10.6;5.25;43.1;12.8;Quilograma"
"70191900;S/NVE;S/NVE;ESTADOS UNIDOS;13.1;1070.0;232.0;116.0;294.0;59.8;290.0;13.1;1070.0;232.0;116.0;294.0;59.8;290.0;56400.0;240.0;240.0;0.17;95.8;7.64;1030.0;273.0;0.0;3.32;0.985;16.1;4.99;Quilograma"
"70191900;S/NVE;S/NVE;FRANCA;0.976;54.5;9.13;2.5;16.3;1.91;8.61;0.976;54.5;9.13;2.5;16.3;1.91;8.61;137000.0;56700.0;56700.0;3.42;2420.0;1870.0;7560.0;2340.0;0.05;30.5;25.6;54.8;22.4;Quilograma"
"70191900;S/NVE;S/NVE;REINO UNIDO;22.2;820.0;201.0;53.8;346.0;53.8;57.9;22.2;820.0;201.0;53.8;346.0;53.8;57.9;144000.0;4590.0;4590.0;0.35;912.0;432.0;3090.0;1260.0;0.0;1.05;0.0;5.28;2.36;Quilograma"
"70196100;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.694;5.08;1.26;1.14;0.921;0.983;1.24;0.694;5.08;1.26;1.14;0.921;0.983;1.24;460000.0;427000.0;427000.0;204.0;5580.0;2890.0;20100.0;6550.0;0.0;19.8;2.63;98.7;26.7;Quilograma"
"70196200;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.711;25.7;2.1;1.68;3.62;1.43;1.75;0.711;25.7;2.1;1.68;3.62;1.43;1.75;944000.0;585000.0;585000.0;82.3;4870.0;4660.0;9900.0;3360.0;0.0;14.0;15.4;30.1;9.57;Quilograma"
"70196600;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;1.19;26.3;8.61;2.56;9.8;1.51;16.6;1.19;26.3;8.61;2.56;9.8;1.51;16.6;168000.0;58000.0;58000.0;0.43;972.0;638.0;2670.0;1080.0;0.0;16.4;5.42;63.6;24.3;Quilograma"
"70196900;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.706;31.0;6.68;3.73;7.71;3.14;6.99;0.706;31.0;6.68;3.73;7.71;3.14;6.99;189000.0;111000.0;111000.0;1.3;1090.0;315.0;7080.0;1900.0;0.0;16.8;5.42;62.4;22.9;Quilograma"
"70196900;S/NVE;S/NVE;ESTADOS UNIDOS;7.85;302.0;81.4;43.0;109.0;37.3;53.4;7.85;302.0;81.4;43.0;109.0;37.3;53.4;67500.0;1400.0;1400.0;6.62;906.0;384.0;2340.0;1070.0;0.05;12.6;6.08;49.6;19.1;Quilograma"
"70197100;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;5.01;2290.0;239.0;61.9;596.0;54.1;101.0;5.01;2290.0;239.0;61.9;596.0;54.1;101.0;39600.0;3800.0;3800.0;0.01;233.0;1.16;3050.0;811.0;0.0;0.845;0.125;3.58;1.35;Quilograma"
"70197100;S/NVE;S/NVE;ESTADOS UNIDOS;1.74;2690.0;128.0;67.6;308.0;23.9;130.0;1.74;2690.0;128.0;67.6;308.0;23.9;130.0;95700.0;17400.0;17400.0;0.0;71.2;1.65;3000.0;363.0;0.0;0.738;0.12;36.4;4.07;Quilograma"
"70197390;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;2.14;24100.0;3760.0;4.59;9020.0;2.69;1080.0;2.14;24100.0;3760.0;4.59;9020.0;2.69;1080.0;57500.0;22700.0;22700.0;0.02;1200.0;511.0;4720.0;1760.0;0.0;35.3;1.48;123.0;59.0;Quilograma"
"70198000;S/NVE;S/NVE;ALEMANHA;13.8;302.0;99.6;67.9;106.0;36.7;106.0;13.8;302.0;99.6;67.9;106.0;36.7;106.0;12400.0;162.0;162.0;2.07;27.0;11.5;83.7;33.1;0.0;0.261;0.035;1.06;0.426;Quilograma"
"70198000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.497;350.0;49.8;5.51;95.2;1.36;75.4;0.497;350.0;49.8;5.51;95.2;1.36;75.4;102000.0;66500.0;66500.0;0.63;1250.0;264.0;5600.0;2010.0;0.0;19.2;3.85;67.4;24.3;Quilograma"
"70198000;S/NVE;S/NVE;ESTADOS UNIDOS;14.7;6740.0;1260.0;362.0;2230.0;121.0;499.0;14.7;6740.0;1260.0;362.0;2230.0;121.0;499.0;48400.0;311.0;311.0;0.48;845.0;7.61;8320.0;2620.0;0.0;3.22;0.13;29.0;9.07;Quilograma"
"70199000;S/NVE;S/NVE;ALEMANHA;4.2;5680.0;657.0;166.0;1260.0;27.7;648.0;4.2;5680.0;657.0;166.0;1260.0;27.7;648.0;127000.0;6700.0;6700.0;0.56;166.0;93.3;865.0;234.0;0.0;3.96;0.525;42.7;9.96;Quilograma"
"70199000;S/NVE;S/NVE;CANADA;7.16;389.0;115.0;26.2;160.0;24.5;128.0;7.16;389.0;115.0;26.2;160.0;24.5;128.0;16700.0;802.0;802.0;1.77;61.0;12.0;189.0;82.7;0.0;0.898;0.32;3.14;1.32;Quilograma"
"70199000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.961;755.0;32.3;5.15;113.0;2.92;8.44;0.961;755.0;32.3;5.15;113.0;2.92;8.44;1040000.0;370000.0;370000.0;0.29;968.0;225.0;17300.0;2140.0;0.0;10.1;1.41;92.4;19.1;Quilograma"
"70199000;S/NVE;S/NVE;ESTADOS UNIDOS;2.31;821000.0;9030.0;116.0;76600.0;30.1;705.0;2.31;821000.0;9030.0;116.0;76600.0;30.1;705.0;872000.0;25000.0;25000.0;0.0;386.0;38.6;4450.0;822.0;0.0;10.8;0.16;647.0;64.2;Quilograma"
"70199000;S/NVE;S/NVE;FRANCA;15.4;14900.0;3130.0;2450.0;3620.0;537.0;3740.0;15.4;14900.0;3130.0;2450.0;3620.0;537.0;3740.0;111000.0;153.0;153.0;0.36;77.1;35.0;307.0;96.3;0.01;5.87;1.78;80.0;15.4;Quilograma"
"70199000;S/NVE;S/NVE;INDIA;1.6;257.0;71.4;2.98;111.0;1.77;122.0;1.6;257.0;71.4;2.98;111.0;1.77;122.0;113000.0;63900.0;63900.0;7.13;1080.0;912.0;3630.0;1320.0;0.0;12.5;11.8;28.0;13.3;Quilograma"
"70199000;S/NVE;S/NVE;ITALIA;3.31;2290.0;263.0;56.9;644.0;22.1;145.0;3.31;2290.0;263.0;56.9;644.0;22.1;145.0;38800.0;6220.0;6220.0;0.37;140.0;65.6;678.0;192.0;0.0;2.43;0.82;11.8;3.47;Quilograma"
"70199000;S/NVE;S/NVE;JAPAO;11.2;1100.0;169.0;82.2;286.0;81.9;161.0;11.2;1100.0;169.0;82.2;286.0;81.9;161.0;14800.0;696.0;696.0;0.48;71.3;4.33;547.0;161.0;0.0;0.834;0.09;4.73;1.59;Quilograma"
"70199000;S/NVE;S/NVE;REINO UNIDO;4.6;122000.0;7290.0;84.7;27300.0;47.8;1580.0;4.6;122000.0;7290.0;84.7;27300.0;47.8;1580.0;81000.0;538.0;538.0;0.61;219.0;14.2;1670.0;438.0;0.0;0.842;0.235;3.44;1.24;Quilograma"
"70199000;S/NVE;S/NVE;SUECIA;5.09;28900.0;1780.0;107.0;6270.0;14.9;392.0;5.09;28900.0;1780.0;107.0;6270.0;14.9;392.0;14600.0;663.0;663.0;0.07;14.9;2.76;70.7;22.4;0.0;0.313;0.02;3.11;0.741;Quilograma"
"70200010;S/NVE;S/NVE;INDIA;1.65;4.35;2.37;2.33;0.54;2.06;2.57;1.65;4.35;2.37;2.33;0.54;2.06;2.57;1250000.0;536000.0;536000.0;730.0;4620.0;3040.0;17500.0;3980.0;0.0;68.7;36.7;385.0;92.6;Quilograma"
"70200090;S/NVE;S/NVE;ALEMANHA;16.2;4330.0;1230.0;1190.0;1310.0;221.0;1420.0;16.2;4330.0;1230.0;1190.0;1310.0;221.0;1420.0;111000.0;635.0;635.0;0.08;107.0;6.74;1690.0;355.0;0.0;0.942;0.04;11.3;2.35;Quilograma"
"70200090;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.134;11700.0;222.0;1.76;1290.0;1.49;8.7;0.134;11700.0;222.0;1.76;1290.0;1.49;8.7;697000.0;394000.0;394000.0;0.03;511.0;284.0;8820.0;921.0;0.0;1.64;0.0;51.5;7.34;Quilograma"
"70200090;S/NVE;S/NVE;ESTADOS UNIDOS;4.88;6500.0;1680.0;878.0;2000.0;76.3;3150.0;4.88;6500.0;1680.0;878.0;2000.0;76.3;3150.0;12000.0;206.0;206.0;0.03;110.0;4.27;1570.0;369.0;0.0;0.711;0.005;5.05;1.47;Quilograma"
"70200090;S/NVE;S/NVE;FRANCA;147.0;4160.0;2440.0;3790.0;2050.0;246.0;3860.0;147.0;4160.0;2440.0;3790.0;2050.0;246.0;3860.0;966.0;2.51;2.51;0.06;3.0;1.47;9.84;3.94;0.0;0.056;0.0;0.24;0.104;Quilograma"
"70200090;S/NVE;S/NVE;HONG KONG;0.561;3.94;1.71;1.52;0.97;1.44;1.65;0.561;3.94;1.71;1.52;0.97;1.44;1.65;61400.0;40000.0;40000.0;5.22;813.0;222.0;2310.0;1020.0;0.0;0.0;0.0;0.0;0.0;Quilograma"
"70200090;S/NVE;S/NVE;ITALIA;12.3;5220.0;618.0;59.8;1390.0;44.9;489.0;12.3;5220.0;618.0;59.8;1390.0;44.9;489.0;59700.0;1010.0;1010.0;0.0;226.0;40.2;1190.0;370.0;0.0;1.69;0.11;17.0;4.49;Quilograma"
"71031000;S/NVE;S/NVE;BRASIL;25.9;20800000.0;2100000.0;1660.0;6600000.0;490.0;5990.0;25.9;20800000.0;2100000.0;1660.0;6600000.0;490.0;5990.0;135000.0;283.0;283.0;0.0;237.0;0.0;782.0;370.0;0.0;66.3;0.0;397.0;143.0;Quilograma"
"71031000;S/NVE;S/NVE;URUGUAI;1.37;16.1;5.01;4.66;4.04;3.13;5.03;1.37;16.1;5.01;4.66;4.04;3.13;5.03;392000.0;126000.0;126000.0;35.0;366.0;400.0;400.0;110.0;0.0;37.0;0.0;136.0;54.4;Quilograma"
"71039100;S/NVE;S/NVE;BRASIL;2220.0;12500000.0;3300000.0;841000.0;4820000.0;88700.0;4510000.0;0.444;2500.0;659.0;168.0;963.0;17.7;902.0;3340000.0;1.65;8290.0;0.0;2.22;0.0;17.8;6.3;0.0;1.55;0.0;12.4;4.39;Quilate"
"71039900;S/NVE;S/NVE;BRASIL;3360.0;3100000.0;729000.0;594000.0;867000.0;60800.0;923000.0;0.673;621.0;145.0;118.0;173.0;12.1;184.0;12000000.0;54.4;272000.0;0.0;60.7;0.0;764.0;211.0;0.0;73.8;0.0;809.0;224.0;Quilate"
"71051000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;148.0;736.0;326.0;228.0;182.0;193.0;467.0;0.0297;0.147;0.0649;0.0456;0.0365;0.0386;0.0935;172000.0;669.0;3350000.0;48.8;718.0;306.0;3840.0;1050.0;0.0;192.0;5.04;1910.0;546.0;Quilate"
"71131100;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;180.0;23500.0;3060.0;1000.0;6530.0;291.0;2380.0;180.0;23500.0;3060.0;1000.0;6530.0;291.0;2380.0;199000.0;161.0;161.0;1.19;402.0;328.0;1240.0;434.0;0.0;23.1;0.0;88.9;39.2;Quilograma"
"71131100;S/NVE;S/NVE;FRANCA;546.0;126000.0;17400.0;9500.0;34700.0;1790.0;11400.0;546.0;126000.0;17400.0;9500.0;34700.0;1790.0;11400.0;24100.0;0.701;0.701;0.15;110.0;15.9;392.0;146.0;0.0;12.9;1.19;123.0;35.2;Quilograma"
"71131100;S/NVE;S/NVE;ITALIA;270.0;43300.0;6700.0;3840.0;8670.0;1720.0;6480.0;270.0;43300.0;6700.0;3840.0;8670.0;1720.0;6480.0;75000.0;23.9;23.9;0.17;51.6;21.8;653.0;94.1;0.0;1.17;0.02;27.0;4.58;Quilograma"
"71131900;S/NVE;S/NVE;FRANCA;17400.0;2020000.0;330000.0;204000.0;388000.0;118000.0;394000.0;17400.0;2020000.0;330000.0;204000.0;388000.0;118000.0;394000.0;1130000.0;9.45;9.45;1.32;456.0;513.0;2120.0;461.0;0.0;38.9;0.0;865.0;136.0;Quilograma"
"71131900;S/NVE;S/NVE;ITALIA;2450.0;342000.0;130000.0;112000.0;78100.0;86600.0;148000.0;2450.0;342000.0;130000.0;112000.0;78100.0;86600.0;148000.0;1160000.0;12.5;12.5;3.06;177.0;102.0;531.0;171.0;0.0;2.25;0.0;80.9;10.4;Quilograma"
"71162010;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;245.0;466000.0;53000.0;1070.0;155000.0;839.0;1930.0;245.0;466000.0;53000.0;1070.0;155000.0;839.0;1930.0;46600.0;36.9;36.9;1.6;95.7;39.8;368.0;128.0;0.0;2.65;0.0;23.9;7.97;Quilograma"
"71162090;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;4.86;1880.0;331.0;225.0;496.0;197.0;234.0;4.86;1880.0;331.0;225.0;496.0;197.0;234.0;42300.0;292.0;292.0;0.23;454.0;18.6;4370.0;1250.0;0.0;1.15;0.375;6.96;1.94;Quilograma"
"71171900;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.0324;268000.0;1040.0;8.53;15100.0;4.95;70.5;0.0324;268000.0;1040.0;8.53;15100.0;4.95;70.5;906000.0;136000.0;136000.0;0.0;265.0;52.1;7640.0;751.0;0.0;2.65;0.0;201.0;12.9;Quilograma"
"71171900;S/NVE;S/NVE;FRANCA;115.0;24600.0;6190.0;4290.0;5430.0;2640.0;7310.0;115.0;24600.0;6190.0;4290.0;5430.0;2640.0;7310.0;28100.0;5.78;5.78;0.49;14.0;7.43;58.9;15.4;0.02;3.28;1.86;17.5;4.1;Quilograma"
"71171900;S/NVE;S/NVE;HONG KONG;1.61;125.0;52.4;59.2;42.2;12.3;76.3;1.61;125.0;52.4;59.2;42.2;12.3;76.3;23100.0;6260.0;6260.0;87.6;859.0;265.0;5920.0;1790.0;0.0;0.0;0.0;0.0;0.0;Quilograma"
"71171900;S/NVE;S/NVE;ITALIA;219.0;69200.0;12500.0;7630.0;14700.0;2420.0;15400.0;219.0;69200.0;12500.0;7630.0;14700.0;2420.0;15400.0;92800.0;52.0;52.0;0.03;6.62;1.25;248.0;22.5;0.0;0.889;0.0;24.5;3.62;Quilograma"
"71179000;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;0.205;1070.0;56.6;2.15;163.0;1.59;35.6;0.205;1070.0;56.6;2.15;163.0;1.59;35.6;562000.0;233000.0;233000.0;0.0;356.0;107.0;5750.0;699.0;0.0;2.26;0.0;51.4;7.31;Quilograma"
"71179000;S/NVE;S/NVE;ESTADOS UNIDOS;10.7;3890.0;1140.0;620.0;1600.0;69.9;1120.0;10.7;3890.0;1140.0;620.0;1600.0;69.9;1120.0;5850.0;233.0;233.0;0.74;248.0;6.48;1180.0;521.0;0.0;0.37;0.0;1.85;0.827;Quilograma"
"71179000;S/NVE;S/NVE;FRANCA;4870.0;48800.0;14500.0;8290.0;13700.0;7920.0;18200.0;4870.0;48800.0;14500.0;8290.0;13700.0;7920.0;18200.0;5970.0;0.712;0.712;0.19;4.15;1.94;12.6;4.47;0.0;2.07;1.29;7.67;2.47;Quilograma"
"71179000;S/NVE;S/NVE;GUATEMALA;8.33;52.5;27.8;27.5;18.5;10.0;44.1;8.33;52.5;27.8;27.5;18.5;10.0;44.1;929.0;44.8;44.8;11.2;66.7;68.6;123.0;39.8;0.0;0.0;0.0;0.0;0.0;Quilograma"
"71179000;S/NVE;S/NVE;ITALIA;14.3;14200.0;3370.0;2170.0;3050.0;1210.0;5590.0;14.3;14200.0;3370.0;2170.0;3050.0;1210.0;5590.0;41200.0;627.0;627.0;0.08;40.4;1.88;984.0;152.0;0.0;2.19;0.0;60.0;8.6;Quilograma"
"72022100;S/NVE;S/NVE;PARAGUAI;0.628;4.21;2.32;2.79;1.28;0.85;3.18;0.628;4.21;2.32;2.79;1.28;0.85;3.18;336000.0;200000.0;200000.0;62.0;651.0;642.0;900.0;285.0;0.0;51.1;21.0;169.0;65.7;Quilograma"
"72022900;S/NVE;S/NVE;PARAGUAI;2.2;3.71;2.73;2.78;0.425;2.56;2.8;2.2;3.71;2.73;2.78;0.425;2.56;2.8;400000.0;142000.0;142000.0;90.0;503.0;496.0;900.0;315.0;2.64;119.0;103.0;332.0;103.0;Quilograma"
"72029990;S/NVE;S/NVE;CHINA, REPUBLICA POPULAR;1.63;3.47;2.33;1.68;0.924;1.65;3.2;1.63;3.47;2.33;1.68;0.924;1.65;3.2;402000.0;201000.0;201000.0;2100.0;4290.0;3300.0;7070.0;2240.0;0.0;20.1;25.0;39.1;19.1;Quilograma"
"72052990;S/NVE;S/NVE;ESTADOS UNIDOS;1.66;355.0;51.9;17.3;102.0;9.68;18.6;1.66;355.0;51.9;17.3;102.0;9.68;18.6;31400.0;11400.0;11400.0;2.04;364.0;155.0;1940.0;555.0;0.02;4.98;0.865;46.6;13.1;Quilograma"
